MaSP,TenSP,SoLuongTon,MoTa,Gia
SP93677551,Banh mang cut 575,785,,401683
SP73036462,Nuoc dau 856,334,,676113
SP68952370,Kem sau rieng 305,174,Mau sac tuoi tan,243893
SP67374448,Muc quyt 835,614,,337127
SP41646012,Sua khoai tay 303,978,Kieu dang tien loi,166163
SP61264179,Sua dau 723,586,,300355
SP49367917,Nuoc vai thieu 572,714,,570381
SP74857899,Sua bo 185,551,,466976
SP46580737,Snack dau 607,786,San pham tot,559137
SP67408892,Nuoc buoi 270,152,,232817
SP51200710,Snack nhan 565,485,San pham tot,537226
SP70845738,Sua nhan 477,887,,228704
SP71658905,Banh cam 363,770,,296477
SP78367272,Snack sau rieng 242,254,,364500
SP82213391,Muc bap 580,694,Ngon bo re,817432
SP75085827,Sua khoai tim 600,381,,104322
SP89481727,Sua quyt 131,257,San pham tot,878574
SP90870356,Snack khoai tay 508,981,,868545
SP73166276,Muc man 651,119,,337608
SP44659982,Snack dua 834,891,,887946
SP93629839,Muc đao 516,524,Ngon bo re,492395
SP46327693,Snack thanh long 846,842,,524032
SP53314088,Snack khoai tim 978,791,Mau ma đep,682341
SP67630725,Banh khoai tay 538,516,,348966
SP49408337,Muc bap 675,594,,854247
SP19272090,Banh quyt 417,204,,588686
SP35070167,Kem hong xiem 510,369,Mau sac tuoi tan,575861
SP11933081,Sua vai thieu 206,464,,684567
SP28854735,Kem bap 149,882,Mau ma đep,557352
SP58002376,Muc dua 911,332,,845898
SP54821139,Banh dau 232,735,,762873
SP43603014,Kem vai thieu 620,785,,787993
SP59748630,Kem đao 327,923,Mau sac tuoi tan,601341
SP55780794,Snack buoi 969,431,,987147
SP43150098,Snack khoai tim 728,207,Ngon bo re,22139
SP24274343,Nuoc dau 129,778,,347431
SP58664888,Banh nhan 475,850,,325604
SP71447320,Kem man 778,659,,376080
SP86319321,Muc nhan 964,994,Mau ma đep,670666
SP96153758,Sua bo 163,116,,453110
SP63772572,Banh nhan 860,166,Mau ma đep,326442
SP16511139,Sua dau 731,774,,842373
SP92573666,Sua nho 642,453,,123967
SP18122759,Nuoc xooai 729,328,,615444
SP72849371,Snack đao 728,978,Mau sac tuoi tan,921787
SP51702942,Muc rong bien 453,164,,172653
SP11075024,Muc cam 476,380,Kieu dang tien loi,273901
SP32684881,Kem mo 641,600,,612086
SP32917663,Banh cam 926,486,,788920
SP50487384,Kem mang cut 926,961,,701243
SP61560392,Sua mo 813,289,Than thien voi moi truong,930202
SP46740104,Banh nho 873,239,,383264
SP12803563,Kem xooai 433,312,Mau sac tuoi tan,674906
SP94245842,Snack hong xiem 731,336,,547213
SP10367728,Sua man 239,751,,854947
SP24982649,Sua dua 864,613,,815721
SP52439733,Muc nho 976,135,Hinh anh bat mat,852581
SP57157877,Banh vai thieu 410,515,,297965
SP81253860,Muc khoai tay 577,585,Phu hop voi gia tien,215261
SP36761396,Sua chuoi 300,560,,202846
SP69246807,Muc bap 412,692,,664430
SP94311204,Snack man 716,643,,257666
SP70988292,Snack nhan 751,308,San pham tot,648402
SP74059308,Banh quyt 664,473,,566969
SP53872707,Muc thanh long 692,294,Hinh anh bat mat,342989
SP76749736,Nuoc bo 689,263,,749057
SP39547355,Snack bo 179,142,,280858
SP50514999,Muc dua 661,937,,795001
SP56345868,Muc nhan 148,571,Thom ngon bo duong,241589
SP57047821,Kem hong xiem 739,369,,760686
SP33557740,Sua thanh long 933,370,Kieu dang tien loi,606628
SP57586080,Nuoc bo 271,674,,578271
SP50092894,Snack quyt 584,404,,551557
SP91018984,Sua rong bien 104,811,,184584
SP65632785,Nuoc cam 568,526,Mau ma đep,340822
SP44664951,Kem bo 139,661,,751108
SP61826562,Sua cam 380,371,Mau ma đep,714141
SP98181358,Nuoc xooai 736,837,,842662
SP50098657,Snack nhan 165,756,,721855
SP23980875,Banh quyt 568,766,,329541
SP73928572,Muc xooai 525,639,Thom ngon bo duong,550107
SP70724525,Sua nho 277,412,,722182
SP84415003,Nuoc rong bien 389,577,Ngon bo re,890185
SP39762069,Kem khoai tay 795,809,,599950
SP30903823,Kem rong bien 802,809,,932605
SP12043932,Kem dau 568,528,,180421
SP96682608,Banh chuoi 882,920,Phu hop voi gia tien,770769
SP29290259,Muc vai thieu 727,260,,900795
SP98598786,Kem nho 705,717,Co ich cho suc khoe,823526
SP43669234,Muc khoai tim 809,413,,739607
SP50733123,Sua mang cut 795,298,,822882
SP11992842,Nuoc nho 214,428,,759307
SP67677315,Muc đao 685,718,Thom ngon bo duong,731922
SP58525105,Banh rong bien 580,587,,880466
SP96551635,Kem khoai tim 322,810,Than thien voi moi truong,792878
SP20307195,Snack khoai tay 488,824,,24848
SP89635197,Kem mo 683,330,,389972
SP32399804,Kem dau 729,779,,238880
SP55436533,Kem mo 872,155,Ngon bo re,101269
SP52985626,Nuoc man 872,983,,638629
SP14272761,Nuoc xooai 841,633,Than thien voi moi truong,477318
SP58418082,Kem xooai 838,846,,329571
SP18581947,Banh đao 101,636,,316630
SP91540666,Snack nhan 933,290,,896632
SP86901283,Snack nhan 469,459,Phu hop voi gia tien,137149
SP24449775,Muc rong bien 423,304,,225517
SP98497732,Muc sau rieng 985,701,Kieu dang tien loi,980534
SP56705618,Sua nho 172,655,,224731
SP11491525,Snack bap 411,353,,816317
SP96283668,Banh bo 601,605,,855030
SP57197189,Banh rong bien 419,434,Kieu dang tien loi,431839
SP64047534,Banh bo 797,500,,163371
SP28154912,Snack bap 146,896,Kieu dang tien loi,627610
SP73710862,Muc vai thieu 108,945,,341936
SP98131850,Kem xooai 240,102,,32132
SP75249051,Banh vai thieu 559,822,,107952
SP53930182,Sua dua 292,207,Hinh anh bat mat,42620
SP32400946,Banh nhan 754,939,,936794
SP42300956,Snack bap 229,231,Phu hop voi gia tien,696749
SP78537536,Snack sau rieng 701,860,,467054
SP78182030,Sua hong xiem 466,504,,670560
SP19595048,Sua nhan 649,617,,582727
SP48418803,Banh buoi 812,701,San pham tot,570303
SP90245399,Nuoc thanh long 606,752,,58313
SP99461914,Nuoc thanh long 882,493,Phu hop voi gia tien,580166
SP54958866,Kem rong bien 105,227,,296437
SP23939332,Muc bap 622,566,,897100
SP21973010,Muc hong xiem 271,628,,249141
SP93755118,Nuoc đao 120,159,Thom ngon bo duong,193501
SP26168640,Snack quyt 575,226,,472723
SP12555743,Nuoc khoai tim 945,106,Phu hop voi gia tien,936589
SP95686730,Muc cam 575,745,,271614
SP77116400,Kem khoai tay 745,843,,592277
SP70098117,Sua rong bien 979,611,,587452
SP87268949,Snack mo 374,745,Hinh anh bat mat,926440
SP89418049,Muc buoi 664,699,,854810
SP27730762,Nuoc buoi 236,192,Mau ma đep,616123
SP40088531,Nuoc nho 938,284,,942114
SP48410851,Nuoc quyt 961,537,,339770
SP19849414,Sua buoi 295,234,,862667
SP68225747,Kem sau rieng 837,166,Co ich cho suc khoe,63462
SP70074125,Sua đao 165,984,,561127
SP45988868,Kem vai thieu 877,433,Ngon bo re,404429
SP52093728,Nuoc chuoi 356,233,,535166
SP70113105,Banh vai thieu 325,644,,565102
SP67818434,Kem nhan 681,581,,755508
SP10760448,Snack đao 415,918,Kieu dang tien loi,487164
SP54817286,Muc bap 331,799,,456469
SP22787428,Sua thanh long 194,489,San pham tot,884192
SP95327392,Kem xooai 205,414,,870624
SP38905288,Snack quyt 702,925,,497495
SP40682995,Banh quyt 200,370,,924920
SP65005547,Sua buoi 840,146,Mau sac tuoi tan,318876
SP39146217,Snack man 349,184,,859103
SP82303747,Sua nhan 496,390,Ngon bo re,639605
SP34080268,Banh chuoi 174,258,,919179
SP67856837,Snack rong bien 964,161,,352891
SP93849137,Banh cam 108,988,,165195
SP45866458,Kem đao 259,979,Mau sac tuoi tan,898832
SP35670199,Muc bap 876,344,,986772
SP89234527,Sua bap 323,891,Phu hop voi gia tien,27065
SP32119125,Sua xooai 219,709,,447286
SP60937720,Snack nhan 678,608,,616719
SP27564690,Muc mang cut 875,345,,463992
SP57583659,Banh khoai tim 138,507,Ngon bo re,476785
SP21482704,Kem dua 850,589,,701623
SP26520965,Nuoc man 163,746,Hinh anh bat mat,514173
SP24129634,Kem đao 578,113,,869262
SP95311641,Kem bap 182,271,,866350
SP25203691,Kem mang cut 170,581,,756913
SP16991690,Snack thanh long 205,925,Co ich cho suc khoe,218209
SP70103112,Nuoc man 284,281,,657015
SP13254890,Snack khoai tay 663,942,Phu hop voi gia tien,624636
SP59664882,Kem chuoi 928,278,,83512
SP85107059,Sua man 785,667,,995505
SP57231594,Muc man 461,882,,338583
SP72550860,Snack rong bien 813,441,Mau ma đep,922782
SP37585887,Kem dau 805,423,,294686
SP73291194,Nuoc chuoi 953,191,Phu hop voi gia tien,549336
SP41634004,Nuoc chuoi 784,261,,933208
SP36931831,Sua khoai tim 349,562,,659098
SP17838315,Sua nho 565,356,,623380
SP35837137,Snack đao 389,866,Hinh anh bat mat,466553
SP89699606,Kem mo 514,323,,953701
SP51213953,Banh bap 443,217,Mau sac tuoi tan,81201
SP56201782,Snack vai thieu 810,101,,827133
SP22505741,Muc nhan 226,314,,16778
SP10809521,Kem quyt 895,811,,582215
SP98631177,Nuoc xooai 506,642,Hinh anh bat mat,100107
SP44179563,Sua vai thieu 473,359,,382491
SP51754810,Kem vai thieu 243,290,Thom ngon bo duong,87185
SP50241809,Nuoc nho 956,114,,870195
SP80126718,Sua khoai tim 868,301,,358118
SP15072666,Muc dau 343,619,,892723
SP25820389,Muc khoai tim 715,906,Than thien voi moi truong,527751
SP13099033,Muc cam 654,137,,734806
SP32370775,Snack sau rieng 142,116,Phu hop voi gia tien,353837
SP48879919,Nuoc quyt 755,373,,26998
SP67393719,Kem cam 441,331,,892659
SP23924441,Sua vai thieu 749,872,,883711
SP52959939,Snack xooai 133,571,Than thien voi moi truong,715467
SP13357472,Muc quyt 166,432,,659686
SP89623468,Banh bo 255,967,Than thien voi moi truong,814773
SP18537147,Nuoc xooai 241,531,,123494
SP19974915,Banh buoi 616,880,,359828
SP13657806,Nuoc vai thieu 213,878,,33158
SP44997569,Nuoc cam 468,938,Mau ma đep,956571
SP77336158,Nuoc mang cut 474,212,,280112
SP89917020,Banh xooai 406,116,Hinh anh bat mat,172240
SP54783673,Banh bo 302,987,,684024
SP57848780,Muc khoai tay 812,596,,776002
SP64657912,Kem cam 816,688,,971409
SP50884539,Muc bap 985,785,Thom ngon bo duong,674063
SP72946406,Muc buoi 960,297,,549196
SP69893045,Muc rong bien 192,723,San pham tot,148733
SP75791161,Nuoc nhan 393,417,,730239
SP29412321,Muc nhan 221,973,,728409
SP30588507,Kem khoai tay 378,480,,521002
SP79847914,Kem nhan 112,490,Than thien voi moi truong,945352
SP21991199,Kem mo 451,113,,206172
SP73178016,Muc rong bien 448,182,Mau ma đep,26823
SP29588355,Banh chuoi 146,282,,867094
SP34960759,Banh chuoi 568,255,,757119
SP26026110,Sua vai thieu 313,260,,398018
SP12764659,Sua sau rieng 359,983,Thom ngon bo duong,634643
SP59757414,Banh đao 312,447,,84834
SP59192258,Banh vai thieu 515,480,Ngon bo re,772488
SP48463093,Snack dau 661,514,,250783
SP27765528,Muc dua 624,134,,762661
SP50295667,Sua dau 850,798,,490474
SP10587304,Kem khoai tay 709,387,Phu hop voi gia tien,906775
SP42751601,Nuoc khoai tay 892,485,,380730
SP56580568,Nuoc đao 255,685,Mau sac tuoi tan,246927
SP85914011,Snack xooai 631,129,,599446
SP85415561,Nuoc man 741,468,,999977
SP24480827,Banh dua 447,421,,214845
SP50675704,Sua hong xiem 429,367,Than thien voi moi truong,272854
SP67650857,Nuoc khoai tay 156,147,,386530
SP53878528,Muc đao 237,637,Hinh anh bat mat,676578
SP99501558,Kem bap 691,175,,569110
SP27677024,Banh man 431,791,,81573
SP95158728,Kem thanh long 965,428,,988079
SP21906961,Nuoc khoai tay 504,201,Kieu dang tien loi,917780
SP37179344,Nuoc rong bien 386,237,,18520
SP43246248,Banh man 875,376,Than thien voi moi truong,952572
SP44023521,Snack mang cut 571,817,,569024
SP88345965,Nuoc mo 630,417,,234315
SP88118646,Muc man 595,460,,431985
SP74648954,Sua sau rieng 973,838,Co ich cho suc khoe,422019
SP24392740,Muc rong bien 558,511,,82408
SP47560967,Sua rong bien 202,566,Ngon bo re,364029
SP28991505,Kem đao 543,680,,26122
SP74526516,Kem dua 953,450,,353859
SP86021563,Sua buoi 207,510,,737780
SP30507746,Banh đao 304,957,Thom ngon bo duong,297180
SP75422789,Kem sau rieng 597,944,,119239
SP46177491,Sua buoi 609,806,Hinh anh bat mat,720508
SP98963116,Snack cam 954,845,,935375
SP65222588,Banh thanh long 951,272,,828523
SP53429443,Nuoc bap 624,763,,213771
SP29686978,Sua mang cut 351,470,Kieu dang tien loi,221641
SP15612293,Sua xooai 977,433,,625442
SP82022446,Snack buoi 279,484,Than thien voi moi truong,622152
SP70288097,Banh mang cut 929,139,,574480
SP87136523,Sua nhan 280,217,,51700
SP16305173,Sua khoai tay 749,823,,265257
SP45026927,Muc hong xiem 947,462,San pham tot,284072
SP24093026,Nuoc khoai tim 188,807,,267992
SP77195276,Snack nho 886,534,Mau sac tuoi tan,608321
SP79098736,Sua bo 775,600,,188607
SP67422511,Kem xooai 743,120,,59917
SP72383205,Snack thanh long 102,264,,922722
SP96988212,Nuoc man 542,748,Ngon bo re,214706
SP23886809,Sua khoai tim 656,777,,169312
SP52325002,Sua man 137,774,Co ich cho suc khoe,502478
SP23318281,Kem sau rieng 500,547,,764647
SP84769782,Sua dau 896,264,,809992
SP29338654,Muc quyt 503,923,,602148
SP35515540,Kem bap 172,642,Kieu dang tien loi,183912
SP94351863,Snack chuoi 361,837,,833724
SP42048161,Muc mo 292,581,Thom ngon bo duong,729314
SP77084429,Kem mang cut 411,277,,364276
SP28958430,Banh bap 917,525,,820153
SP29696363,Snack quyt 548,386,,941698
SP30531504,Banh khoai tay 120,747,Mau sac tuoi tan,136640
SP12290977,Kem quyt 587,201,,53101
SP36387729,Banh bap 326,971,San pham tot,587044
SP50771815,Muc đao 622,208,,635493
SP96846600,Snack nhan 733,975,,658757
SP45245247,Nuoc khoai tim 947,312,,713835
SP25078456,Banh chuoi 226,390,Ngon bo re,918417
SP52943341,Muc quyt 700,319,,532745
SP88945660,Kem mo 738,192,Hinh anh bat mat,819342
SP71313651,Banh khoai tim 318,532,,324526
SP97961380,Nuoc nho 883,924,,621683
SP70927702,Snack dua 483,562,,534127
SP25653365,Muc nhan 917,706,Hinh anh bat mat,473103
SP40605440,Muc hong xiem 910,606,,582309
SP14210012,Kem dau 106,205,San pham tot,534492
SP11392616,Snack rong bien 552,693,,554839
SP28856782,Sua vai thieu 177,838,,153853
SP33418030,Banh nhan 490,949,,198337
SP29461096,Banh nhan 850,455,Hinh anh bat mat,799255
SP18801829,Muc nho 510,259,,912979
SP41730806,Muc dua 413,303,Co ich cho suc khoe,340811
SP91370241,Sua nho 541,960,,499038
SP89400612,Sua thanh long 197,679,,169773
SP42625568,Muc nhan 884,880,,997301
SP46225237,Nuoc man 752,949,Hinh anh bat mat,65156
SP99290703,Muc bap 633,851,,732296
SP91547269,Snack rong bien 776,801,Mau ma đep,218675
SP82068848,Snack khoai tay 103,450,,890447
SP46573672,Nuoc chuoi 608,801,,882399
SP83323524,Sua nho 709,888,,106569
SP76032973,Snack khoai tay 986,316,Phu hop voi gia tien,399827
SP78490513,Muc cam 685,765,,894633
SP46036426,Sua thanh long 539,118,Hinh anh bat mat,950907
SP81025463,Banh chuoi 989,408,,24131
SP61662574,Snack nho 767,931,,714094
SP47357759,Kem đao 733,977,,887421
SP10100879,Sua mang cut 872,893,Thom ngon bo duong,364763
SP55158764,Banh vai thieu 848,159,,356596
SP57275069,Snack bap 225,607,San pham tot,19713
SP78563236,Kem khoai tay 815,524,,183789
SP88637944,Kem nhan 841,661,,511993
SP98151842,Sua dua 331,1000,,298302
SP17602305,Kem đao 349,111,San pham tot,675104
SP87099620,Muc khoai tay 645,562,,340460
SP79692777,Kem nhan 287,355,Hinh anh bat mat,741606
SP81950752,Snack quyt 720,859,,304440
SP23359314,Snack cam 941,436,,373119
SP57290354,Muc nho 376,953,,290924
SP83194523,Sua bo 681,317,San pham tot,618883
SP46176050,Banh dua 696,210,,344640
SP13426778,Nuoc bap 442,100,Than thien voi moi truong,22014
SP60425050,Sua mo 524,575,,489556
SP80943344,Kem khoai tay 926,836,,215965
SP40208385,Snack đao 483,993,,275698
SP24016825,Snack bo 273,967,Mau sac tuoi tan,146062
SP41381812,Sua dua 532,422,,494276
SP76364388,Kem bo 792,811,Than thien voi moi truong,191039
SP19957762,Snack xooai 349,196,,320677
SP58340912,Kem hong xiem 570,181,,568873
SP53316010,Snack nhan 231,729,,323818
SP76468889,Sua cam 392,893,Mau sac tuoi tan,447391
SP32836339,Snack nho 866,119,,39893
SP73125485,Kem đao 928,872,Kieu dang tien loi,235486
SP66865612,Nuoc khoai tay 993,341,,740375
SP34381235,Snack quyt 601,541,,724210
SP63835371,Sua chuoi 589,345,,643197
SP31779542,Banh mang cut 167,525,Than thien voi moi truong,213420
SP77826696,Sua quyt 340,903,,363372
SP36677206,Sua quyt 641,585,Mau sac tuoi tan,180975
SP59718634,Kem dau 704,232,,621563
SP15122859,Muc mo 376,945,,888672
SP62049970,Kem khoai tim 881,143,,529800
SP37411077,Nuoc dau 333,210,San pham tot,58045
SP80159690,Snack khoai tim 146,263,,968895
SP61381773,Muc vai thieu 493,756,Kieu dang tien loi,623201
SP62725237,Nuoc rong bien 884,160,,544760
SP35688658,Snack buoi 170,339,,869049
SP68919075,Kem nho 641,298,,632398
SP18032761,Snack bap 990,211,Mau ma đep,619803
SP87141375,Sua bap 830,764,,514164
SP49930205,Sua buoi 679,690,San pham tot,399321
SP54819004,Muc nhan 946,904,,91978
SP11743178,Banh bap 948,118,,938445
SP86102179,Nuoc mang cut 506,340,,525454
SP51708333,Sua bo 379,322,Thom ngon bo duong,625413
SP96246420,Banh đao 706,253,,443605
SP26838615,Kem dau 573,985,Co ich cho suc khoe,768339
SP23224383,Banh mo 876,867,,111508
SP25301592,Muc bap 351,194,,513847
SP56085939,Kem bo 923,583,,293671
SP79266452,Snack chuoi 796,379,Hinh anh bat mat,798042
SP90166635,Muc quyt 271,637,,26513
SP63247879,Snack xooai 737,326,Ngon bo re,810676
SP87553448,Snack khoai tay 715,177,,140428
SP42817594,Muc nho 542,119,,411534
SP74957338,Snack bo 829,158,,484658
SP57835943,Snack mang cut 485,847,Phu hop voi gia tien,903647
SP47610160,Kem đao 501,387,,383771
SP47091158,Sua man 423,499,San pham tot,957702
SP41630949,Banh man 860,805,,187094
SP43816606,Muc dau 775,903,,409225
SP34957422,Nuoc thanh long 387,295,,772063
SP60099880,Snack vai thieu 433,920,Ngon bo re,688328
SP17566633,Kem nhan 657,211,,37865
SP60192184,Sua thanh long 849,828,Kieu dang tien loi,203104
SP84676456,Sua mang cut 523,682,,37535
SP81184810,Snack dau 789,557,,162570
SP15162426,Banh man 702,798,,902256
SP62158777,Kem rong bien 762,807,Than thien voi moi truong,272180
SP15220242,Banh nho 448,966,,226321
SP66346308,Sua khoai tim 891,257,Co ich cho suc khoe,672501
SP96882856,Kem xooai 173,622,,373197
SP67823302,Kem quyt 158,803,,262203
SP45080915,Sua nho 571,857,,295878
SP89321670,Muc khoai tim 498,495,Hinh anh bat mat,513882
SP79217091,Snack khoai tim 348,253,,543482
SP44099315,Muc mo 838,276,San pham tot,28831
SP30568769,Sua nhan 432,818,,881021
SP35544211,Snack dau 810,145,,89425
SP32434475,Kem dua 819,405,,852307
SP20590852,Kem nhan 327,453,Co ich cho suc khoe,510345
SP52136950,Sua mo 691,342,,352821
SP87278416,Sua sau rieng 648,556,Co ich cho suc khoe,325604
SP14059153,Nuoc đao 470,853,,87944
SP93742883,Muc nhan 286,260,,37906
SP72996587,Snack mang cut 804,767,,636821
SP73701687,Nuoc khoai tim 496,430,Thom ngon bo duong,135532
SP11322026,Muc dau 530,920,,354889
SP61913896,Sua khoai tim 495,779,Thom ngon bo duong,827591
SP61106909,Kem rong bien 853,870,,702271
SP38094982,Kem bap 786,573,,362406
SP87122214,Kem sau rieng 161,216,,324860
SP22685979,Muc xooai 119,528,Mau ma đep,419060
SP28773238,Snack nhan 366,757,,748406
SP76184504,Nuoc man 839,540,Than thien voi moi truong,263256
SP79877556,Snack bo 723,168,,248024
SP16734373,Sua nhan 679,754,,608003
SP71571938,Sua bap 770,252,,914273
SP75722952,Kem buoi 637,600,Hinh anh bat mat,371299
SP22920382,Nuoc hong xiem 222,604,,49358
SP21936649,Kem nhan 556,1000,Hinh anh bat mat,217946
SP34911669,Snack chuoi 409,167,,818795
SP47630570,Sua thanh long 484,297,,279547
SP40863013,Nuoc nhan 973,209,,61707
SP57483872,Snack khoai tim 512,437,Co ich cho suc khoe,783069
SP86283059,Kem khoai tay 945,767,,83182
SP45924276,Kem hong xiem 794,615,Mau ma đep,690933
SP52551840,Nuoc man 729,972,,399451
SP43568096,Muc bo 819,340,,403422
SP26733111,Kem man 514,702,,649165
SP75619967,Sua thanh long 262,931,Thom ngon bo duong,97477
SP13863238,Banh thanh long 756,102,,992611
SP63259120,Banh khoai tay 827,589,Ngon bo re,266145
SP60992352,Nuoc mo 905,829,,923205
SP31289336,Kem bo 716,260,,768621
SP36984618,Muc nho 741,548,,146054
SP70197417,Sua dau 999,231,Mau ma đep,931880
SP63727704,Banh chuoi 459,759,,811950
SP85208133,Kem man 596,201,Mau sac tuoi tan,123466
SP21763440,Banh chuoi 569,738,,628495
SP31339554,Snack hong xiem 520,722,,283787
SP92827862,Snack rong bien 731,854,,632011
SP19523878,Banh sau rieng 778,995,San pham tot,865230
SP77818834,Sua mang cut 163,235,,948625
SP67588533,Sua vai thieu 397,776,Phu hop voi gia tien,106494
SP62166937,Kem vai thieu 718,976,,415569
SP79818527,Nuoc dua 219,349,,498029
SP88402307,Banh nho 299,612,,602008
SP58761226,Muc dau 706,345,Hinh anh bat mat,258927
SP85763379,Kem chuoi 760,913,,525655
SP35436958,Nuoc dau 300,571,Mau sac tuoi tan,840540
SP10128127,Nuoc bo 372,488,,44231
SP75310065,Nuoc man 708,115,,348821
SP68558683,Snack bap 541,972,,342076
SP80598308,Kem xooai 560,404,Mau sac tuoi tan,857352
SP34482876,Kem hong xiem 995,109,,794549
SP43057364,Banh hong xiem 853,657,Mau sac tuoi tan,565447
SP74922592,Sua mang cut 660,866,,639212
SP58855396,Snack đao 353,762,,71759
SP20472113,Muc khoai tay 904,265,,508949
SP62737461,Sua sau rieng 401,319,Phu hop voi gia tien,953483
SP47234891,Snack đao 382,463,,90274
SP76423155,Nuoc man 684,474,San pham tot,642499
SP13254532,Nuoc thanh long 763,997,,668104
SP31559224,Nuoc khoai tim 359,957,,862265
SP63326057,Banh mo 119,627,,693587
SP85187171,Kem khoai tay 937,364,Thom ngon bo duong,240838
SP36836363,Muc bap 117,346,,423915
SP21517047,Nuoc nhan 175,572,Mau sac tuoi tan,333347
SP71872964,Nuoc nhan 112,214,,669384
SP93213885,Muc thanh long 723,333,,821786
SP84024551,Muc mo 314,362,,805461
SP33435875,Banh cam 663,510,San pham tot,533652
SP48871759,Kem thanh long 192,954,,570307
SP63563885,Sua rong bien 744,604,Than thien voi moi truong,516917
SP65488982,Nuoc vai thieu 911,270,,726100
SP44851872,Muc cam 648,151,,770070
SP79557485,Nuoc hong xiem 225,268,,489051
SP89082121,Snack khoai tay 102,243,Thom ngon bo duong,77194
SP29790014,Sua bo 177,691,,209227
SP14692092,Banh quyt 557,923,Kieu dang tien loi,961811
SP56201021,Sua buoi 780,412,,896817
SP86038908,Snack chuoi 936,319,,237553
SP33436315,Muc rong bien 715,917,,225808
SP70893194,Banh nho 995,124,Kieu dang tien loi,600735
SP46187868,Kem khoai tay 600,852,,215666
SP30090982,Banh dau 550,865,Mau ma đep,763173
SP69794828,Kem xooai 817,886,,910785
SP73814338,Snack khoai tim 728,772,,395264
SP10731706,Snack man 724,261,,39223
SP67684156,Banh bo 362,745,Mau ma đep,321488
SP81353401,Nuoc xooai 239,166,,574078
SP72826872,Snack nhan 269,542,Hinh anh bat mat,443049
SP78220645,Sua dau 583,848,,997350
SP21822560,Nuoc đao 410,123,,706064
SP18590864,Nuoc bap 248,678,,165690
SP82915124,Nuoc nhan 932,532,Thom ngon bo duong,663511
SP74293802,Snack nhan 987,167,,820819
SP37138817,Kem nhan 182,162,Mau sac tuoi tan,541802
SP88646041,Nuoc rong bien 198,797,,599696
SP77832165,Nuoc rong bien 749,191,,908515
SP35917671,Banh thanh long 919,562,,362459
SP81492252,Nuoc dau 743,864,Co ich cho suc khoe,11228
SP12420843,Snack sau rieng 235,476,,615903
SP55336688,Muc cam 844,510,Mau sac tuoi tan,740228
SP34940361,Banh thanh long 361,666,,188912
SP24958595,Sua bap 774,301,,636777
SP93400148,Snack buoi 523,767,,422697
SP48265884,Snack chuoi 372,543,Phu hop voi gia tien,579406
SP77482031,Muc quyt 678,910,,308650
SP88664559,Nuoc dua 557,782,Than thien voi moi truong,590510
SP96636149,Snack bo 880,539,,375747
SP84241235,Banh chuoi 504,677,,616277
SP62594968,Banh thanh long 321,677,,750117
SP44497841,Banh dau 634,166,Mau sac tuoi tan,453031
SP17458312,Snack quyt 100,166,,293789
SP11889891,Sua đao 334,191,Mau ma đep,436625
SP75849537,Banh mo 801,805,,311979
SP50885583,Nuoc hong xiem 316,326,,244970
SP10878574,Nuoc man 421,424,,161582
SP96907112,Kem nhan 239,803,Mau sac tuoi tan,96348
SP92009338,Kem khoai tim 450,455,,221536
SP53327259,Banh nho 432,631,Co ich cho suc khoe,717134
SP52588710,Banh thanh long 904,698,,452491
SP67427531,Sua dau 853,323,,222475
SP19350920,Kem cam 136,879,,775021
SP84138573,Snack man 305,912,Than thien voi moi truong,792761
SP10870842,Kem bap 821,783,,775186
SP87916220,Kem chuoi 104,845,San pham tot,87106
SP87075488,Sua khoai tay 618,962,,746633
SP10317018,Kem nhan 507,107,,289787
SP61676278,Banh bo 599,196,,336177
SP85320109,Sua đao 540,185,Ngon bo re,376829
SP86560491,Snack cam 780,616,,530541
SP56024453,Sua bo 159,106,Mau sac tuoi tan,630691
SP63479876,Sua cam 899,246,,291302
SP92532818,Muc xooai 475,802,,520825
SP21014217,Banh vai thieu 534,419,,60906
SP44845100,Snack khoai tay 523,896,Phu hop voi gia tien,342640
SP54748400,Nuoc quyt 591,682,,317031
SP24479650,Muc đao 971,339,Ngon bo re,870905
SP68391668,Banh man 549,892,,943180
SP49534608,Banh mang cut 185,138,,823831
SP84672488,Sua nhan 990,797,,816653
SP10120019,Nuoc vai thieu 659,211,Than thien voi moi truong,760031
SP82657606,Banh mang cut 788,956,,522829
SP96715276,Kem nhan 354,442,San pham tot,196799
SP54680515,Sua xooai 257,677,,880841
SP75813533,Nuoc bap 980,762,,781360
SP64166507,Snack hong xiem 217,597,,291292
SP80047358,Nuoc buoi 118,119,Phu hop voi gia tien,13109
SP47637919,Muc xooai 130,851,,515598
SP19076051,Snack nhan 879,420,Thom ngon bo duong,67758
SP52258894,Kem chuoi 637,902,,238728
SP92130672,Muc dua 315,140,,147248
SP53404033,Snack quyt 208,704,,14178
SP67060530,Kem nhan 855,464,Phu hop voi gia tien,643198
SP45442671,Snack nho 101,159,,538468
SP81390913,Muc hong xiem 920,665,Kieu dang tien loi,587947
SP79091289,Sua rong bien 718,313,,727280
SP91976258,Kem nho 314,486,,239817
SP56570618,Nuoc bo 682,599,,601222
SP39500621,Muc nhan 460,169,Co ich cho suc khoe,692557
SP34773872,Sua mang cut 397,217,,703656
SP50293330,Nuoc chuoi 763,795,Mau ma đep,195147
SP65801886,Muc quyt 450,679,,522467
SP25910204,Muc buoi 429,906,,41527
